Genotype,FT_mean,FT_se,leaves_mean,leaves_se,weights_mean,weights_se
WxT_1.,28.3,0.334357401,18.1,0.528422908,0.016267,0.000600516
WxT_10.,27.175,0.325984702,17.05,0.485626743,0.012155,0.000536524
WxT_11.,27.7,0.266024869,19.9,0.469314831,0.0176125,0.000638931
WxT_12.,25.5,0.299572345,16.575,0.575,0.01217,0.0006385
WxT_13.,25.92307692,0.516116265,15.12820513,0.697188771,0.0147675,0.001358234
WxT_14.,23.225,0.213299777,10.325,0.233115741,0.0055275,0.000359683
WxT_15.,31.05263158,0.556798623,21.05263158,0.82798438,0.034825,0.002789651
WxT_16.,27.33333333,0.536562424,16.48717949,0.7660754,0.019297436,0.002014427
WxT_17.,28.86842105,0.428652081,16.26315789,0.520810467,0.013528947,0.000681089
WxT_18.,22.16666667,0.309889893,11.77777778,0.270540644,0.005598889,0.000309718
WxT_19.,24.575,0.239891803,15.625,0.636182021,0.0101675,0.00110165
WxT_2.,31.65789474,0.514755692,26.21052632,1.033684384,0.035371795,0.002136445
WxT_21.,20.32,0.181692721,9.46,0.128444382,0.002184,0.000132738
WxT_22.,26.81578947,0.180308189,17.92105263,0.50934591,0.0221875,0.00298
WxT_23.,25.975,0.334908139,16.425,0.666878973,0.0121925,0.000874206
WxT_24.,19.3,0.068478212,9.166666667,0.079428277,0.002433333,9.51E-05
WxT_25.,31.02631579,0.248714596,23.92105263,0.741362379,0.025961538,0.001102314
WxT_26.,31.97368421,0.368548037,23.46153846,0.743706073,0.028228205,0.000797846
WxT_27.,26.25,0.21408721,14.875,0.502796666,0.0136625,0.000835247
WxT_28.,30.33333333,0.310268121,23.41025641,0.719609608,0.024007692,0.00092953
WxT_29.,27.225,0.26186584,16.7,0.593986964,0.0168175,0.000966993
WxT_30.,29.2,0.286893172,15.2,0.334357401,0.01917,0.001252071
WxT_34.,25.31578947,0.38110654,10.60526316,0.334246086,0.005376316,0.000529022
WxT_35.,37.15384615,0.42292354,25.48717949,0.723494103,0.0415725,0.002638436
WxT_36.,36.97435897,0.341638466,23.66666667,0.663623283,0.030146154,0.001479828
WxT_38.,34,0.277350098,15.6,0.185361739,0.0151025,0.000617921
WxT_39.,33.175,0.364950822,16.025,0.302738569,0.019915,0.001032526
WxT_40.,32.375,0.355699924,18.225,0.332988604,0.0252075,0.001031599
WxT_41.,33.68888889,0.423814118,16.6,0.49989898,0.021178723,0.001398813
WxT_42.,30.71794872,0.291463611,17.28205128,0.620117874,0.018171795,0.001083578
WxT_44.,34.7,0.27080128,25.3,0.44606542,0.0551875,0.002093381
WxT_45.,27.8,0.293519754,14.65,0.388207584,0.0165025,0.001085555
WxT_46.,25.74358974,0.353730741,13.28205128,0.34451303,0.007741026,0.00052237
WxT_47.,32.82926829,0.522543544,17.85365854,0.704134978,0.019346667,0.001406815
WxT_48.,26.2,0.20317985,15.575,0.279393804,0.013935897,0.000666972
WxT_49.,30.76923077,0.335609379,18.28205128,0.449844354,0.0174375,0.000811991
WxT_5.,27.775,0.313146767,21.525,0.644490954,0.019835,0.001014792
WxT_50.,30.39473684,0.565156449,17.92105263,0.539191718,0.016885,0.000991907
WxT_51.,33.5,0.494277351,19.60526316,0.975911489,0.025389211,0.002204745
WxT_52.,32.825,0.242549228,26.025,0.651907949,0.0406925,0.001193333
WxT_55.,26.51351351,0.264579733,13.21621622,0.254494539,0.008978378,0.000484646
WxT_56.,19.46,0.134649962,9.86,0.110693546,0.003562,0.000136034
WxT_57.,21.95,0.229128785,12.075,0.285071966,0.007384615,0.001476668
WxT_58.,28.35,0.28989388,15.975,0.302738569,0.0167025,0.002226051
WxT_59.,33.125,0.318625856,24.75,1.002400964,0.0309275,0.001996808
WxT_61.,39.575,0.320031048,24.35,0.264453961,0.047005,0.001461576
WxT_62.,29.63265306,0.477106747,23.46938776,0.944056795,0.024218367,0.001304439
WxT_63.,21.225,0.210273022,9.925,0.176822017,0.0031625,0.000159875
WxT_64.,34.31578947,0.533521092,24.94736842,0.971827456,0.032125,0.001702945
WxT_65.,30.525,0.366877853,19.3,0.564096737,0.0237775,0.001226134
WxT_66.,34.05,0.380536059,25.675,1.024937459,0.04466,0.002984399
WxT_68.,40.65,0.313274681,27,0.377236918,0.093625,0.003205042
WxT_69.,27.975,0.204084887,20.75,0.482714015,0.0214275,0.003415566
WxT_71.,29.05,0.159927868,19.55,0.55,0.02375,0.00079641
WxT_73.,24.45,0.265421774,10.9,0.174679193,0.0163575,0.001435551
WxT_74.,28.45,0.28408648,17.9,0.706925449,0.014635,0.000887091
WxT_76.,21.63157895,0.254185595,9.710526316,0.213045033,0.002823684,0.000205834
WxT_77.,21.35897436,0.218839965,10.25641026,0.150204309,0.003658974,0.000134912
WxT_78.,35.475,0.229233673,29.525,0.843517893,0.0460225,0.001222128
WxT_9.,38.75,0.348850423,25.79545455,0.790789704,0.044270455,0.002370138
P204,6,N,35.527,10.8,,
P205,6,N,28.0125,9.4,,
P213,7,Y,53.0175,21.5,,
P214,7,Y,57.472,22.5,,
P217,7,Y,27.5935,14.6,,
P219,6,N,42.693,13.2,,
